Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category
Save trips as JSON regardless of the schema,DIPP-64,10063,Story,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,Adam_Aranyi,63cfe31ba05386069cda49af,Adam_Aranyi,63cfe31ba05386069cda49af,27/Mar/23 9:40 AM,27/Mar/23 9:42 AM,30/Mar/23 12:58 PM,,,0,TechDebt,,,"The schema provided for the futar API is not reliable. The data provided by the API frequently contains fields that are not present in the schema. 

Instead of constantly maintaining the schema I want to store all the retrieved data as is in JSON format.",,Adam_Aranyi,,,,63cfe31ba05386069cda49af,,,,,,,,,,,,,DIPP-60,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,To Do
CI/CD pipeline (Python),DIPP-63,10062,Story,Review,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Adam Brett,63d39e92f6e1b543161772c7,Gábor Fábián,63cfe31ba197e05f9dad5aa6,22/Mar/23 10:42 AM,30/Mar/23 9:11 AM,30/Mar/23 12:59 PM,,,0,,,,"Create a CI/CD pipeline.

Check if creating an artifactory is possible.

If the pipeline fails then send an email

*Hint:* [https://gitbud.epam.com/andor_herendi/bkk/-/pipelines|https://gitbud.epam.com/andor_herendi/bkk/-/pipelines]

AC

* -The repository can be built-
* Tests are executed
* Code formatter executed
* If any of the previous steps failing then the whole pipeline is failing
* The pipeline is triggered after each and every commit",,Gábor Fábián,,,,63cfe31ba197e05f9dad5aa6,,,,,,,,,,,,,,,,,DIPP-52,,,,,,,,,,,0|i0005z:,,,,,5.0,,,,,,,In Progress
Visualize delays in PowerBI,DIPP-62,10061,Story,In Progress,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Levente_Nagy1,63cfe31bf386bda5dcab317d,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,06/Mar/23 9:22 AM,29/Mar/23 9:05 AM,30/Mar/23 12:59 PM,,,0,DelaysPerLineVisualization,,,Create a visualization which displays the delays per line in PowerBI,,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005q:i,DIPP Sprint 6,,,,8.0,,,,,,,In Progress
Introduce a working Loki instance,DIPP-61,10060,Story,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Andor Herendi,63ce6514f6e1b5431616179f,Andor Herendi,63ce6514f6e1b5431616179f,06/Mar/23 9:20 AM,23/Mar/23 9:19 AM,30/Mar/23 12:59 PM,,,0,Logging,,,Create a working Loki instance which is containerized and accessible through Web browser.,,Andor Herendi,,,,63ce6514f6e1b5431616179f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,To Do
Certain trip entries cause unhandled error at trip ingestion,DIPP-60,10059,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Adam_Aranyi,63cfe31ba05386069cda49af,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Gábor Fábián,63cfe31ba197e05f9dad5aa6,03/Mar/23 12:45 PM,30/Mar/23 9:02 AM,30/Mar/23 12:59 PM,30/Mar/23 9:02 AM,,0,Ingestion,TechDebt,,"Certain trip entries cause unhandled error (likely because they contain different fields).

See:

[https://dataint23.atlassian.net/browse/DIPP-19|https://dataint23.atlassian.net/browse/DIPP-19|smart-link]

[https://dataint23.atlassian.net/browse/DIPP-43|https://dataint23.atlassian.net/browse/DIPP-43|smart-link]",,Adam_Aranyi,Gábor Fábián,,,63cfe31ba05386069cda49af,63cfe31ba197e05f9dad5aa6,,,,,,,,,,,DIPP-64,,,,,,,,,,,07/Mar/23 9:16 AM;63cfe31ba05386069cda49af;stacktrace.txt;https://dataint23.atlassian.net/secure/attachment/10000/stacktrace.txt,07/Mar/23 11:23 AM;63cfe31ba05386069cda49af;stacktrace_avroTypeException.txt;https://dataint23.atlassian.net/secure/attachment/10001/stacktrace_avroTypeException.txt,08/Mar/23 6:30 PM;63cfe31ba05386069cda49af;trip_containing_unfamiliar_fields.txt;https://dataint23.atlassian.net/secure/attachment/10003/trip_containing_unfamiliar_fields.txt,,,0|i0000f:ie,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,1.0,"07/Mar/23 1:33 PM;63cfe31ba05386069cda49af;Found the cause of the AvroTypeException. Some trips contain an additional attribute called ""nextBlockTripId"" which is not in the schema therefore cannot be parsed.",08/Mar/23 6:36 PM;63cfe31ba05386069cda49af;The futar api sometimes returns values which are not present in the original schema. For example one of the trips has a field called 'secondaryColor' (trip_containing_unfamiliar_fields.txt line 34) which is not present in[ futar-openapi.yaml|https://editor.swagger.io/?url=https://opendata.bkk.hu/docs/futar-openapi.yaml].,,,,,Done
Rewrite Futár API to read avro files,DIPP-59,10058,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Botond_Besnyi,63cfe31bc7e5fd35203b3219,03/Mar/23 9:22 AM,22/Mar/23 12:10 PM,30/Mar/23 12:59 PM,22/Mar/23 12:10 PM,,0,2_approve,2_review,Ingestion,Rewrite Futár API to read avro files instead of txt,,Botond_Besnyi,,,,63cfe31bc7e5fd35203b3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:ii,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,2.0,03/Mar/23 5:15 PM;63cfe31bc7e5fd35203b3219;[PR|https://git.epam.com/adam_posta/bkk/-/merge_requests/4],,,,,,Done
Rewrite timetable ingestion to fastavro,DIPP-58,10057,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Botond_Besnyi,63cfe31bc7e5fd35203b3219,Botond_Besnyi,63cfe31bc7e5fd35203b3219,02/Mar/23 9:23 AM,28/Mar/23 11:09 PM,30/Mar/23 12:59 PM,28/Mar/23 11:09 PM,,0,1_review,3_approve,Ingestion,Change the timetable ingestion’s code to use fastavro instead of pandavro,,Botond_Besnyi,,,,63cfe31bc7e5fd35203b3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:if,DIPP Sprint 4,DIPP Sprint 5,DIPP Sprint 6,,2.0,02/Mar/23 9:39 AM;63cfe31bc7e5fd35203b3219;[PR|https://git.epam.com/botond_besnyi/suhu/-/merge_requests/3],,,,,,Done
Handling the case when required env vars are missing or empty,DIPP-57,10056,Story,Done,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,Done,Gábor Fábián,63cfe31ba197e05f9dad5aa6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,27/Feb/23 9:11 AM,27/Mar/23 11:04 AM,30/Mar/23 12:59 PM,27/Mar/23 11:04 AM,,0,1_approve,1_review,TechDebt,"If the input data type is not defined then the error message is misleading



AC

* The error message is descriptive and understandable
* Unit test completed
* Merged into main branch



According to Andor Herendi, a simple null check does its job.



The app accepts {{TripUpdates}} or {{VehiclePositions}} as input data type. {{trip_ingestion}} is not accepted.

{code:java}PS C:\Users\Andor_Herendi\projects\bkk\gabor_fabian> docker run -e BKK_BASE_URL=https://go.bkk.hu/api/query/v1/ws/gtfs-rt/full/ trip_ingestion
Exception in thread ""main"" java.lang.NullPointerException: Cannot invoke ""String.hashCode()"" because ""<local3>"" is null
        at com.epam.suhudata01.bkk.App.getFeedMessageDataFetcher(App.java:46)
        at com.epam.suhudata01.bkk.App.main(App.java:32)
{code}",,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0000f:ik,DIPP Sprint 6,,,,1.0,,,,,,,Done
Tech Debt,DIPP-56,10055,Epic,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,24/Feb/23 9:21 AM,24/Feb/23 9:21 AM,30/Mar/23 12:59 PM,,,0,,,,,,Tamas Adami,,,,557058:75793878-96f9-421a-b729-5480491e22d6,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,0|i0004n:,,,,,,,,,,,,To Do
TechDebt - Modularize Python projects,DIPP-55,10054,Story,To Do,DIPP,Data Internal Public Project,software,Tamas Adami,557058:75793878-96f9-421a-b729-5480491e22d6,,Medium,,,,Adam Brett,63d39e92f6e1b543161772c7,Adam Brett,63d39e92f6e1b543161772c7,21/Feb/23 1:02 PM,24/Feb/23 9:21 AM,30/Mar/23 12:59 PM,,,0,TechDebt,,,"As a developer, I want to modularize all Python project so that we can have a unified and more maintainable codebase.

*AC:*

* Separate the functionality of a program into independent, interchangeable modules.",,Adam Brett,,,,63d39e92f6e1b543161772c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,10055,Tech Debt,To Do
